Issue Key,Summary,Issue Type,Fix Version,Epic Link,Epic Name,Priority,Assignee Persona,Labels,Acceptance Criteria,Evidence Required,Description
S00-E03-S01,S00-E03-S01 — Build the cost model,Story,S00 Ideation & Business Case,S00-E03,,P3,Sponsor + Rajal,stage-s00 lifecycle-story,"Build, run and change costs over 3 years; explicitly includes foundation and compliance cost, not only feature cost",,"Build, run and change costs over 3 years; explicitly includes foundation and compliance cost, not only feature cost"
S00-E03-S02,S00-E03-S02 — Build the benefit model,Story,S00 Ideation & Business Case,S00-E03,,P3,Sponsor + Rajal,stage-s00 lifecycle-story,"Revenue, cost-to-serve, and control benefits, separately stated",,"Revenue, cost-to-serve, and control benefits, separately stated"
S00-E03-S03,S00-E03-S03 — State the investment decision,Story,S00 Ideation & Business Case,S00-E03,,P3,Sponsor + Rajal,stage-s00 lifecycle-story,"Payback period, funding envelope, tranche conditions; what would cause the programme to stop",,"Payback period, funding envelope, tranche conditions; what would cause the programme to stop"
S00-E03-S04,S00-E03-S04 — Obtain funding approval,Story,S00 Ideation & Business Case,S00-E03,,P3,Sponsor + Rajal,stage-s00 lifecycle-story,"Recorded approval from the investment authority, dated",,"Recorded approval from the investment authority, dated"
S00-E04,S00-E04 — Governance establishment,Epic,S00 Ideation & Business Case,,S00-E04,P3,Rajal + Kalpana,stage-s00 lifecycle-epic,,,Epic of stage S00 (Ideation & Business Case). See docs/application-lifecycle-bible/stages/.
S00-E04-S01,S00-E04-S01 — Name the executive sponsor,Story,S00 Ideation & Business Case,S00-E04,,P3,Rajal + Kalpana,stage-s00 lifecycle-story,"A named individual, with decision rights and an escalation path, recorded in the RACI",,"A named individual, with decision rights and an escalation path, recorded in the RACI"
S00-E04-S02,S00-E04-S02 — Establish the RACI,Story,S00 Ideation & Business Case,S00-E04,,P3,Rajal + Kalpana,stage-s00 lifecycle-story,Every decision class has a named accountable person,,Every decision class has a named accountable person
S00-E04-S03,S00-E04-S03 — Define the decision cadence,Story,S00 Ideation & Business Case,S00-E04,,P3,Rajal + Kalpana,stage-s00 lifecycle-story,"Steering frequency, membership, quorum, and what it decides",,"Steering frequency, membership, quorum, and what it decides"
S00-E04-S04,S00-E04-S04 — Establish the KPI tree,Story,S00 Ideation & Business Case,S00-E04,,P3,Rajal + Kalpana,stage-s00 lifecycle-story,Outcomes decompose to measurable KPIs; each KPI has a source system and an owner,,Outcomes decompose to measurable KPIs; each KPI has a source system and an owner
S00-VT-01,"S00-VT-01 — The problem is real, not assumed",Test,S00 Ideation & Business Case,,,P3,Swapnali / QA,stage-s00 validation-test,≥ 4 independently describe the same post-redirect visibility loss,E3/E4,"Method: Interview 5+ stakeholders across RM, branch and operations. Pass: ≥ 4 independently describe the same post-redirect visibility loss"
S00-VT-02,S00-VT-02 — The opportunity is credible,Test,S00 Ideation & Business Case,,,P3,Swapnali / QA,stage-s00 validation-test,Assumptions accepted or revised; no unsupported multiplier survives,E3/E4,Method: Independent review of the sizing assumptions by Finance. Pass: Assumptions accepted or revised; no unsupported multiplier survives
S00-VT-03,S00-VT-03 — The activity is permissible,Test,S00 Ideation & Business Case,,,P3,Swapnali / QA,stage-s00 validation-test,"Written opinion: permissible, with conditions listed",E3/E4,"Method: Compliance opinion against the licence. Pass: Written opinion: permissible, with conditions listed"
S00-VT-04,S00-VT-04 — Someone is accountable,Test,S00 Ideation & Business Case,,,P3,Swapnali / QA,stage-s00 validation-test,Same name from ≥ 80%,E3/E4,"Method: Ask any team member ""who is the sponsor?"". Pass: Same name from ≥ 80%"
S00-VT-05,S00-VT-05 — Success is measurable,Test,S00 Ideation & Business Case,,,P3,Swapnali / QA,stage-s00 validation-test,"No outcome ends in ""improved experience"" with no measure",E3/E4,"Method: Walk each outcome to a KPI, a source, and an owner. Pass: No outcome ends in ""improved experience"" with no measure"
S00-G1,S00-G1 — Business case approved and funded,Task,S00 Ideation & Business Case,,,P1,Kalpana / Delivery,stage-s00 gate-criterion,Business case approved and funded,E2,Evidence artefact: Signed investment approval with envelope and tranche conditions
S00-G2,S00-G2 — Executive sponsor named with decision rights,Task,S00 Ideation & Business Case,,,P1,Kalpana / Delivery,stage-s00 gate-criterion,Executive sponsor named with decision rights,E1,Evidence artefact: RACI naming an individual
S00-G3,S00-G3 — Regulatory viability confirmed,Task,S00 Ideation & Business Case,,,P1,Kalpana / Delivery,stage-s00 gate-criterion,Regulatory viability confirmed,E2,"Evidence artefact: Compliance opinion, signed"
S00-G4,S00-G4 — Target outcomes defined and measurable,Task,S00 Ideation & Business Case,,,P1,Kalpana / Delivery,stage-s00 gate-criterion,Target outcomes defined and measurable,E1,Evidence artefact: KPI tree with owners and baselines
S00-G5,S00-G5 — Alternatives considered and recorded,Task,S00 Ideation & Business Case,,,P1,Kalpana / Delivery,stage-s00 gate-criterion,Alternatives considered and recorded,E1,Evidence artefact: Options paper with rationale
S00-G6,S00-G6 — Programme governance operating,Task,S00 Ideation & Business Case,,,P1,Kalpana / Delivery,stage-s00 gate-criterion,Programme governance operating,E1,Evidence artefact: Steering terms of reference; first meeting minuted
S01-E01,S01-E01 — Stakeholder and actor definition,Epic,S01 Discovery & Capability Definition,,S01-E01,P3,Rajal,stage-s01 lifecycle-epic,,,Epic of stage S01 (Discovery & Capability Definition). See docs/application-lifecycle-bible/stages/.
S01-E01-S01,S01-E01-S01 — Catalogue every actor,Story,S01 Discovery & Capability Definition,S01-E01,,P3,Rajal,stage-s01 lifecycle-story,"Bank actors (RM, BM, CM, RM-regional, Zonal, National), insurer actors (desk rep, regional ops, admin), customer segments (ETB, NTB), operations and compliance actors",,"Bank actors (RM, BM, CM, RM-regional, Zonal, National), insurer actors (desk rep, regional ops, admin), customer segments (ETB, NTB), operations and compliance actors"
S01-E01-S02,S01-E01-S02 — Map organisational hierarchies,Story,S01 Discovery & Capability Definition,S01-E01,,P3,Rajal,stage-s01 lifecycle-story,Bank and insurer hierarchies with the reporting relationships that will drive data scoping,,Bank and insurer hierarchies with the reporting relationships that will drive data scoping
S01-E01-S03,S01-E01-S03 — Identify decision rights per actor,Story,S01 Discovery & Capability Definition,S01-E01,,P3,Rajal,stage-s01 lifecycle-story,"Who may quote, override, verify, approve, view MIS — the raw material for the S07 authorization model",,"Who may quote, override, verify, approve, view MIS — the raw material for the S07 authorization model"
S01-E01-S04,S01-E01-S04 — Capture pain points per actor,Story,S01 Discovery & Capability Definition,S01-E01,,P3,Rajal,stage-s01 lifecycle-story,"Evidence-based, from interviews or observation, not assumed",,"Evidence-based, from interviews or observation, not assumed"
S01-E02,S01-E02 — Capability mapping,Epic,S01 Discovery & Capability Definition,,S01-E02,P3,Rajal + Mahesh,stage-s01 lifecycle-epic,,,Epic of stage S01 (Discovery & Capability Definition). See docs/application-lifecycle-bible/stages/.
S01-E02-S01,S01-E02-S01 — Build the level-1 and level-2 capability map,Story,S01 Discovery & Capability Definition,S01-E02,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,"Capabilities, not systems and not org units; each stated as a business ability",,"Capabilities, not systems and not org units; each stated as a business ability"
S01-E02-S02,S01-E02-S02 — Assess each capability's current maturity,Story,S01 Discovery & Capability Definition,S01-E02,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,"None / partial / adequate, with the supporting system named",,"None / partial / adequate, with the supporting system named"
S01-E02-S03,S01-E02-S03 — Identify capability gaps,Story,S01 Discovery & Capability Definition,S01-E02,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,The delta between current and required maturity; this is the programme's real scope,,The delta between current and required maturity; this is the programme's real scope
S01-E02-S04,S01-E02-S04 — Prioritise capabilities by business value,Story,S01 Discovery & Capability Definition,S01-E02,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,Which capabilities carry the outcome from S00,,Which capabilities carry the outcome from S00
S01-E03,S01-E03 — Journey and value-stream discovery,Epic,S01 Discovery & Capability Definition,,S01-E03,P3,Rajal + BA,stage-s01 lifecycle-epic,,,Epic of stage S01 (Discovery & Capability Definition). See docs/application-lifecycle-bible/stages/.
S01-E03-S01,S01-E03-S01 — Map the as-is journeys,Story,S01 Discovery & Capability Definition,S01-E03,,P3,Rajal + BA,stage-s01 lifecycle-story,"RM-assisted and self-service, including the redirect point where visibility is lost",,"RM-assisted and self-service, including the redirect point where visibility is lost"
S01-E03-S02,S01-E03-S02 — Map the to-be journeys at concept level,Story,S01 Discovery & Capability Definition,S01-E03,,P3,Rajal + BA,stage-s01 lifecycle-story,Lead → need analysis → suitability → consent → quote → proposal → payment → issuance,,Lead → need analysis → suitability → consent → quote → proposal → payment → issuance
S01-E03-S03,S01-E03-S03 — Identify journey variants,Story,S01 Discovery & Capability Definition,S01-E03,,P3,Rajal + BA,stage-s01 lifecycle-story,ETB vs NTB; assisted vs DIY vs hybrid; Group A (aggregator) vs Group B (redirect) insurers,,ETB vs NTB; assisted vs DIY vs hybrid; Group A (aggregator) vs Group B (redirect) insurers
S01-E03-S04,S01-E03-S04 — Identify the moments that matter,Story,S01 Discovery & Capability Definition,S01-E03,,P3,Rajal + BA,stage-s01 lifecycle-story,Where the sale is won or lost; where regulatory obligations bind,,Where the sale is won or lost; where regulatory obligations bind
S01-E04,S01-E04 — Domain vocabulary,Epic,S01 Discovery & Capability Definition,,S01-E04,P3,Rajal + Mahesh,stage-s01 lifecycle-epic,,,Epic of stage S01 (Discovery & Capability Definition). See docs/application-lifecycle-bible/stages/.
S01-E04-S01,S01-E04-S01 — Build the glossary,Story,S01 Discovery & Capability Definition,S01-E04,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,"Every domain term defined once; conflicting usages resolved, not documented in parallel",,"Every domain term defined once; conflicting usages resolved, not documented in parallel"
S01-E04-S02,S01-E04-S02 — Define business-state vocabulary,Story,S01 Discovery & Capability Definition,S01-E04,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,"What ""quoted"", ""proposed"", ""issued"", ""sold"" mean, precisely",,"What ""quoted"", ""proposed"", ""issued"", ""sold"" mean, precisely"
S01-E04-S03,S01-E04-S03 — Agree the ubiquitous language,Story,S01 Discovery & Capability Definition,S01-E04,,P3,Rajal + Mahesh,stage-s01 lifecycle-story,"The glossary's terms are the terms used in code, APIs and Jira",,"The glossary's terms are the terms used in code, APIs and Jira"
S01-E05,S01-E05 — Gap and question management,Epic,S01 Discovery & Capability Definition,,S01-E05,P3,Rajal,stage-s01 lifecycle-epic,,,Epic of stage S01 (Discovery & Capability Definition). See docs/application-lifecycle-bible/stages/.
S01-E05-S01,S01-E05-S01 — Establish the gap register,Story,S01 Discovery & Capability Definition,S01-E05,,P3,Rajal,stage-s01 lifecycle-story,"Every open question has an ID, owner, severity, and exit criterion",,"Every open question has an ID, owner, severity, and exit criterion"
S01-E05-S02,S01-E05-S02 — Establish the discovery backlog,Story,S01 Discovery & Capability Definition,S01-E05,,P3,Rajal,stage-s01 lifecycle-story,"Open questions tracked to closure, not to a document",,"Open questions tracked to closure, not to a document"
S01-E05-S03,S01-E05-S03 — Classify gaps by blocking severity,Story,S01 Discovery & Capability Definition,S01-E05,,P3,Rajal,stage-s01 lifecycle-story,P0 = blocks scope/build; P1 = blocks pilot; P2/P3 = later. P0 must actually block,,P0 = blocks scope/build; P1 = blocks pilot; P2/P3 = later. P0 must actually block
S01-VT-01,S01-VT-01 — Capability map is complete,Test,S01 Discovery & Capability Definition,,,P3,Swapnali / QA,stage-s01 validation-test,No orphan step; no capability with no journey,E3/E4,Method: Walk each to-be journey step; every step maps to a capability. Pass: No orphan step; no capability with no journey
S01-VT-02,S01-VT-02 — Actors are complete,Test,S01 Discovery & Capability Definition,,,P3,Swapnali / QA,stage-s01 validation-test,No unowned capability,E3/E4,Method: Walk each capability; every one has an actor who performs and one who is accountable. Pass: No unowned capability
S01-VT-03,S01-VT-03 — Glossary is unambiguous,Test,S01 Discovery & Capability Definition,,,P3,Swapnali / QA,stage-s01 validation-test,≥ 90% agreement; disputes resolved into the glossary,E3/E4,Method: Give 5 team members 10 terms to define independently. Pass: ≥ 90% agreement; disputes resolved into the glossary
S01-VT-04,S01-VT-04 — Journeys reflect reality,Test,S01 Discovery & Capability Definition,,,P3,Swapnali / QA,stage-s01 validation-test,RMs recognise their own process; corrections captured,E3/E4,Method: Review the as-is journey with 3 practising RMs. Pass: RMs recognise their own process; corrections captured
S01-VT-05,S01-VT-05 — Gaps are honestly severed,Test,S01 Discovery & Capability Definition,,,P3,Swapnali / QA,stage-s01 validation-test,"No P0 gap whose ""blocked"" work is proceeding",E3/E4,"Method: For every P0 gap, name what it blocks and confirm that thing is actually blocked. Pass: No P0 gap whose ""blocked"" work is proceeding"
S01-G1,S01-G1 — Capability map complete and prioritised,Task,S01 Discovery & Capability Definition,,,P1,Kalpana / Delivery,stage-s01 gate-criterion,Capability map complete and prioritised,E1,Evidence artefact: Capability map with maturity and priority
S01-G2,S01-G2 — Stakeholder catalogue with decision rights,Task,S01 Discovery & Capability Definition,,,P1,Kalpana / Delivery,stage-s01 gate-criterion,Stakeholder catalogue with decision rights,E1,Evidence artefact: Stakeholder catalogue
S01-G3,S01-G3 — As-is and to-be journeys mapped with variants,Task,S01 Discovery & Capability Definition,,,P1,Kalpana / Delivery,stage-s01 gate-criterion,As-is and to-be journeys mapped with variants,E1,Evidence artefact: Journey canvas
S01-G4,S01-G4 — Glossary agreed and adopted,Task,S01 Discovery & Capability Definition,,,P1,Kalpana / Delivery,stage-s01 gate-criterion,Glossary agreed and adopted,E2,"Evidence artefact: Glossary, signed off by Product + Architecture"
S01-G5,S01-G5 — Gap register established with severities that bind,Task,S01 Discovery & Capability Definition,,,P1,Kalpana / Delivery,stage-s01 gate-criterion,Gap register established with severities that bind,E1,Evidence artefact: Gap register + a stated blocking rule
S01-G6,S01-G6 — Discovery findings reviewed with business stakeholders,Task,S01 Discovery & Capability Definition,,,P1,Kalpana / Delivery,stage-s01 gate-criterion,Discovery findings reviewed with business stakeholders,E2,Evidence artefact: Review record with attendees and corrections
S02-E01,S02-E01 — Regulatory registry,Epic,"S02 Regulatory, Risk & Compliance Framing",,S02-E01,P1,Shailja,stage-s02 lifecycle-epic,,,"Epic of stage S02 (Regulatory, Risk & Compliance Framing). See docs/application-lifecycle-bible/stages/."
S02-E01-S01,S02-E01-S01 — Catalogue applicable regulation,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E01,,P1,Shailja,stage-s02 lifecycle-story,"IRDAI corporate agency, RBI cyber-security and payment, DPDP/privacy, banking and AML as applicable; each with citation",,"IRDAI corporate agency, RBI cyber-security and payment, DPDP/privacy, banking and AML as applicable; each with citation"
S02-E01-S02,S02-E01-S02 — Extract obligations,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E01,,P1,Shailja,stage-s02 lifecycle-story,"Each obligation gets an ID, source citation, plain-language statement, and an owner",,"Each obligation gets an ID, source citation, plain-language statement, and an owner"
S02-E01-S03,S02-E01-S03 — Map obligations to journey steps,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E01,,P1,Shailja,stage-s02 lifecycle-story,Every obligation attaches to where in the journey it binds,,Every obligation attaches to where in the journey it binds
S02-E01-S04,S02-E01-S04 — Establish the regulatory change watch,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E01,,P1,Shailja,stage-s02 lifecycle-story,"Named owner, cadence, and a route from a change into the backlog",,"Named owner, cadence, and a route from a change into the backlog"
S02-E02,S02-E02 — Control catalogue,Epic,"S02 Regulatory, Risk & Compliance Framing",,S02-E02,P1,Shailja + Deepali,stage-s02 lifecycle-epic,,,"Epic of stage S02 (Regulatory, Risk & Compliance Framing). See docs/application-lifecycle-bible/stages/."
S02-E02-S01,S02-E02-S01 — Define a control per obligation,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E02,,P1,Shailja + Deepali,stage-s02 lifecycle-story,Every obligation has ≥ 1 control; every control names its obligation,,Every obligation has ≥ 1 control; every control names its obligation
S02-E02-S02,S02-E02-S02 — Classify controls as preventive/detective/corrective,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E02,,P1,Shailja + Deepali,stage-s02 lifecycle-story,Preventive controls become hard gates in code,,Preventive controls become hard gates in code
S02-E02-S03,S02-E02-S03 — Define the evidence for each control,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E02,,P1,Shailja + Deepali,stage-s02 lifecycle-story,What artefact proves it operates — automated test preferred,,What artefact proves it operates — automated test preferred
S02-E02-S04,S02-E02-S04 — Identify non-waivable controls,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E02,,P1,Shailja + Deepali,stage-s02 lifecycle-story,The list that no authority may waive; published and agreed,,The list that no authority may waive; published and agreed
S02-E03,S02-E03 — Consent rule pack,Epic,"S02 Regulatory, Risk & Compliance Framing",,S02-E03,P1,Shailja + Rajal,stage-s02 lifecycle-epic,,,"Epic of stage S02 (Regulatory, Risk & Compliance Framing). See docs/application-lifecycle-bible/stages/."
S02-E03-S01,S02-E03-S01 — Define consent events,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E03,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"Which actions require consent, from which actor, at which journey point",,"Which actions require consent, from which actor, at which journey point"
S02-E03-S02,S02-E03-S02 — Define consent content and versioning,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E03,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"Statement text, version ID, language variants; how a version change affects in-flight journeys",,"Statement text, version ID, language variants; how a version change affects in-flight journeys"
S02-E03-S03,S02-E03-S03 — Define the capture mechanism per channel,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E03,,P1,Shailja + Rajal,stage-s02 lifecycle-story,Assisted: SMS/OTP to the customer's device. DIY: in-app checkbox + OTP. Evidence captured identically in both,,Assisted: SMS/OTP to the customer's device. DIY: in-app checkbox + OTP. Evidence captured identically in both
S02-E03-S04,S02-E03-S04 — Define the consent evidence record,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E03,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"Statement text, version, CIF, OTP transaction ID, timestamp, IP — append-only, immutable",,"Statement text, version, CIF, OTP transaction ID, timestamp, IP — append-only, immutable"
S02-E03-S05,S02-E03-S05 — Define withdrawal and expiry,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E03,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"Can consent be withdrawn, what happens to in-flight and completed journeys, how long consent remains valid",,"Can consent be withdrawn, what happens to in-flight and completed journeys, how long consent remains valid"
S02-E03-S06,S02-E03-S06 — Define retention and retrieval,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E03,,P1,Shailja + Rajal,stage-s02 lifecycle-story,7-year retention; retrieval SLA for a regulator request,,7-year retention; retrieval SLA for a regulator request
S02-E04,S02-E04 — Suitability rule pack,Epic,"S02 Regulatory, Risk & Compliance Framing",,S02-E04,P1,Shailja + Rajal,stage-s02 lifecycle-epic,,,"Epic of stage S02 (Regulatory, Risk & Compliance Framing). See docs/application-lifecycle-bible/stages/."
S02-E04-S01,S02-E04-S01 — Define the need-analysis questionnaire,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E04,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"Questions, answer types, mandatory fields, per customer segment",,"Questions, answer types, mandatory fields, per customer segment"
S02-E04-S02,S02-E04-S02 — Define the suitability algorithm,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E04,,P1,Shailja + Rajal,stage-s02 lifecycle-story,How answers map to a suitability outcome per product class; deterministic and reproducible,,How answers map to a suitability outcome per product class; deterministic and reproducible
S02-E04-S03,S02-E04-S03 — Define the hard-gate rule,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E04,,P1,Shailja + Rajal,stage-s02 lifecycle-story,Quote is refused without a valid suitability evaluation ID. Validity window and scope stated,,Quote is refused without a valid suitability evaluation ID. Validity window and scope stated
S02-E04-S04,S02-E04-S04 — Define override rules,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E04,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"May an RM override an unsuitable outcome? By whom, with what record, and what disclosure",,"May an RM override an unsuitable outcome? By whom, with what record, and what disclosure"
S02-E04-S05,S02-E04-S05 — Define the suitability evidence record,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E04,,P1,Shailja + Rajal,stage-s02 lifecycle-story,"Answers, outcome, evaluator, timestamp, version of the algorithm used",,"Answers, outcome, evaluator, timestamp, version of the algorithm used"
S02-E04-S06,S02-E04-S06 — Define re-evaluation triggers,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E04,,P1,Shailja + Rajal,stage-s02 lifecycle-story,What invalidates a prior suitability result,,What invalidates a prior suitability result
S02-E05,S02-E05 — Data classification and protection framing,Epic,"S02 Regulatory, Risk & Compliance Framing",,S02-E05,P1,Shailja + Deepali,stage-s02 lifecycle-epic,,,"Epic of stage S02 (Regulatory, Risk & Compliance Framing). See docs/application-lifecycle-bible/stages/."
S02-E05-S01,S02-E05-S01 — Classify every data element,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E05,,P1,Shailja + Deepali,stage-s02 lifecycle-story,"Public / internal / confidential / restricted; PII, financial and health flagged",,"Public / internal / confidential / restricted; PII, financial and health flagged"
S02-E05-S02,S02-E05-S02 — Define handling rules per class,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E05,,P1,Shailja + Deepali,stage-s02 lifecycle-story,"Encryption, masking, logging prohibition, access restriction, cross-border prohibition",,"Encryption, masking, logging prohibition, access restriction, cross-border prohibition"
S02-E05-S03,S02-E05-S03 — Define the retention schedule,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E05,,P1,Shailja + Deepali,stage-s02 lifecycle-story,"Per data class, with the legal basis and the disposal method",,"Per data class, with the legal basis and the disposal method"
S02-E05-S04,S02-E05-S04 — Define data residency requirements,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E05,,P1,Shailja + Deepali,stage-s02 lifecycle-story,"India-only for regulated data, including backups, logs and archives",,"India-only for regulated data, including backups, logs and archives"
S02-E06,S02-E06 — Risk framework,Epic,"S02 Regulatory, Risk & Compliance Framing",,S02-E06,P1,Shailja,stage-s02 lifecycle-epic,,,"Epic of stage S02 (Regulatory, Risk & Compliance Framing). See docs/application-lifecycle-bible/stages/."
S02-E06-S01,S02-E06-S01 — Define the risk taxonomy,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E06,,P1,Shailja,stage-s02 lifecycle-story,"Regulatory, financial, operational, security, reputational",,"Regulatory, financial, operational, security, reputational"
S02-E06-S02,S02-E06-S02 — Establish the risk register,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E06,,P1,Shailja,stage-s02 lifecycle-story,"Each risk: description, likelihood, impact, owner, treatment, review date",,"Each risk: description, likelihood, impact, owner, treatment, review date"
S02-E06-S03,S02-E06-S03 — Define risk acceptance authority,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E06,,P1,Shailja,stage-s02 lifecycle-story,Who may accept what level; material risk reserved to a named human,,Who may accept what level; material risk reserved to a named human
S02-E06-S04,S02-E06-S04 — Define the exception process,Story,"S02 Regulatory, Risk & Compliance Framing",S02-E06,,P1,Shailja,stage-s02 lifecycle-story,"Waiver requirements, expiry discipline, compensating controls",,"Waiver requirements, expiry discipline, compensating controls"
S02-VT-01,S02-VT-01 — Every obligation has a control,Test,"S02 Regulatory, Risk & Compliance Framing",,,P1,Swapnali / QA,stage-s02 validation-test,Zero obligations with no control,E3/E4,Method: Traverse the registry. Pass: Zero obligations with no control
S02-VT-02,S02-VT-02 — Every control has evidence defined,Test,"S02 Regulatory, Risk & Compliance Framing",,,P1,Swapnali / QA,stage-s02 validation-test,Zero controls with no evidence type,E3/E4,Method: Traverse the catalogue. Pass: Zero controls with no evidence type
S02-VT-03,S02-VT-03 — Consent rules are implementable,Test,"S02 Regulatory, Risk & Compliance Framing",,,P1,Swapnali / QA,stage-s02 validation-test,Both produce the same behaviour description; no clarification needed,E3/E4,Method: Give the pack to an engineer and a tester independently. Pass: Both produce the same behaviour description; no clarification needed
S02-VT-04,S02-VT-04 — Suitability rules are deterministic,Test,"S02 Regulatory, Risk & Compliance Framing",,,P1,Swapnali / QA,stage-s02 validation-test,Identical outcomes both times,E3/E4,"Method: Run 20 sample customer profiles through the algorithm by hand, twice, by two people. Pass: Identical outcomes both times"
S02-VT-05,S02-VT-05 — The hard-gate is unambiguous,Test,"S02 Regulatory, Risk & Compliance Framing",,,P1,Swapnali / QA,stage-s02 validation-test,"Answer is a rule, not a judgement",E3/E4,"Method: Ask: what exactly makes a suitability ID ""valid""?. Pass: Answer is a rule, not a judgement"
S02-VT-06,S02-VT-06 — Data classification is complete,Test,"S02 Regulatory, Risk & Compliance Framing",,,P1,Swapnali / QA,stage-s02 validation-test,100% classified,E3/E4,Method: Sample 30 fields from the information model. Pass: 100% classified
